rank	lemma	is_mwe	pos	raw_freq	freq_per_million
5165	fluir	0	verb	4243	6.669
5166	insensível	0	adj	4243	6.669
5167	encontrado	0	verb	4241	6.666
5168	doação	0	noun	4237	6.660
5169	ditado	0	noun	4234	6.655
5170	cilada	0	noun	4231	6.650
5171	viciar	0	verb	4231	6.650
5172	chocante	0	adj	4230	6.649
5173	bunker	0	noun	4228	6.646
5174	cintura	0	noun	4228	6.646
5175	estelar	0	adj	4224	6.639
5176	aparentar	0	verb	4220	6.633
5177	desmontar	0	verb	4220	6.633
5178	terço	0	adj	4217	6.628
5179	transformação	0	noun	4213	6.622
5180	afeto	0	noun	4210	6.617
5181	encolher	0	verb	4210	6.617
5182	hálito	0	noun	4208	6.614
5183	retaguarda	0	noun	4207	6.613
5184	stripper	0	noun	4204	6.608
5185	adicional	0	adj	4201	6.603
5186	imaginário	0	adj	4199	6.600
5187	coitar	0	verb	4197	6.597
5188	desempenho	0	noun	4197	6.597
5189	dificilmente	0	adv	4192	6.589
5190	tipa	0	noun	4191	6.587
5191	malandro	0	noun	4187	6.581
5192	oitavo	0	adj	4186	6.580
5193	sedativo	0	noun	4185	6.578
5194	tábua	0	noun	4185	6.578
5195	camelo	0	noun	4184	6.576
5196	inscrição	0	noun	4183	6.575
5197	falir	0	verb	4182	6.573
5198	cera	0	noun	4179	6.569
5199	tequila	0	noun	4177	6.565
5200	ginger	0	noun	4176	6.564
5201	condenado	0	noun	4174	6.561
5202	estadia	0	noun	4172	6.558
5203	arsenal	0	noun	4171	6.556
5204	protestar	0	verb	4171	6.556
5205	ballet	0	noun	4169	6.553
5206	trovão	0	noun	4169	6.553
5207	linhagem	0	noun	4168	6.551
5208	dinamite	0	noun	4163	6.543
5209	san diego	1	mwe	4163	6.543
5210	desvendar	0	verb	4162	6.542
5211	fritar	0	verb	4162	6.542
5212	médio oriente	1	mwe	4155	6.531
5213	concretizar	0	verb	4153	6.528
5214	triângulo	0	noun	4153	6.528
5215	donzela	0	noun	4152	6.526
5216	grego	0	noun	4150	6.523
5217	infringir	0	verb	4150	6.523
5218	aurora	0	noun	4149	6.521
5219	esfera	0	noun	4149	6.521
5220	enjoado	0	adj	4148	6.520
5221	deficiente	0	noun	4147	6.518
5222	pelas costas	1	mwe	4144	6.514
5223	psíquico	0	adj	4144	6.514
5224	prancha	0	noun	4142	6.510
5225	mascarar	0	verb	4139	6.506
5226	destroço	0	noun	4138	6.504
5227	manifestar	0	verb	4136	6.501
5228	gravador	0	noun	4135	6.499
5229	aleluia	0	intj	4134	6.498
5230	extinguir	0	verb	4133	6.496
5231	mantem	0	verb	4131	6.493
5232	pátria	0	noun	4129	6.490
5233	superficial	0	adj	4129	6.490
5234	metáfora	0	noun	4128	6.488
5235	novato	0	noun	4124	6.482
5236	pudim	0	noun	4124	6.482
5237	vitamina	0	noun	4124	6.482
5238	abóbora	0	noun	4121	6.477
5239	coiro	0	noun	4121	6.477
5240	confronto	0	noun	4119	6.474
5241	sintético	0	adj	4119	6.474
5242	banqueiro	0	noun	4118	6.473
5243	estatal	0	adj	4117	6.471
5244	mineiro	0	noun	4116	6.470
5245	cotovelo	0	noun	4114	6.466
5246	pimenta	0	noun	4114	6.466
5247	aterrorizar	0	verb	4113	6.465
5248	pulsação	0	noun	4112	6.463
5249	contrabando	0	noun	4110	6.460
5250	biologia	0	noun	4107	6.455
5251	mãezinha	0	noun	4106	6.454
5252	contabilidade	0	noun	4102	6.448
5253	cristão	0	noun	4101	6.446
5254	mangueira	0	noun	4101	6.446
5255	quadrado	0	adj	4099	6.443
5256	proporcionar	0	verb	4096	6.438
5257	súbito	0	adj	4096	6.438
5258	penteado	0	noun	4095	6.437
5259	desrespeitar	0	verb	4093	6.433
5260	ciumento	0	adj	4089	6.427
5261	testículo	0	noun	4089	6.427
5262	lendário	0	adj	4084	6.419
5263	infinito	0	noun	4077	6.408
5264	invencível	0	adj	4073	6.402
5265	arredores	0	noun	4072	6.400
5266	condessa	0	noun	4071	6.399
5267	extinção	0	noun	4070	6.397
5268	alegação	0	noun	4066	6.391
5269	áudio	0	noun	4065	6.389
5270	atencioso	0	adj	4064	6.388
5271	insuportável	0	adj	4058	6.378
5272	mação	0	noun	4058	6.378
5273	sobrenatural	0	adj	4055	6.374
5274	técnico	0	adj	4052	6.369
5275	dane	0	noun	4048	6.363
5276	confiar nele	1	mwe	4045	6.358
5277	desilusão	0	noun	4045	6.358
5278	módulo	0	noun	4044	6.356
5279	campa	0	noun	4043	6.355
5280	boné	0	noun	4040	6.350
5281	caneca	0	noun	4039	6.348
5282	feroz	0	adj	4039	6.348
5283	iminente	0	adj	4039	6.348
5284	colateral	0	adj	4036	6.344
5285	pecar	0	verb	4035	6.342
5286	bordel	0	noun	4033	6.339
5287	complexo	0	adj	4029	6.333
5288	reitor	0	noun	4029	6.333
5289	repugnante	0	adj	4028	6.331
5290	pára-quedas	0	noun	4024	6.325
5291	gestão	0	noun	4023	6.323
5292	chui	0	noun	4019	6.317
5293	conheçoa	0	noun	4019	6.317
5294	juíza	0	noun	4019	6.317
5295	marcador	0	noun	4017	6.314
5296	matoua	0	noun	4015	6.311
5297	refrescar	0	verb	4015	6.311
5298	padrasto	0	noun	4010	6.303
5299	compatível	0	adj	4009	6.301
5300	diagnosticar	0	verb	4008	6.300
5301	emocionalmente	0	adv	4008	6.300
5302	potente	0	adj	4006	6.297
5303	lsso	0	adv	4005	6.295
5304	contentar	0	verb	4004	6.293
5305	reproduzir	0	verb	4004	6.293
5306	peão	0	noun	4003	6.292
5307	sexualmente	0	adv	4002	6.290
5308	pequenote	0	noun	3999	6.286
5309	patroa	0	noun	3998	6.284
5310	blusa	0	noun	3996	6.281
5311	contemplar	0	verb	3995	6.279
5312	imóvel	0	noun	3995	6.279
5313	posicionar	0	verb	3995	6.279
5314	batom	0	noun	3994	6.278
5315	apalpar	0	verb	3993	6.276
5316	lindíssimo	0	adj	3992	6.275
5317	tanga	0	noun	3992	6.275
5318	vossas vidas	1	mwe	3990	6.271
5319	digressão	0	noun	3988	6.268
5320	charme	0	noun	3986	6.265
5321	veterinário	0	noun	3986	6.265
5322	certificado	0	noun	3985	6.264
5323	ligeiramente	0	adv	3985	6.264
5324	barulhento	0	adj	3984	6.262
5325	classificar	0	verb	3981	6.257
5326	saudar	0	verb	3981	6.257
5327	desenrascar	0	verb	3979	6.254
5328	imigrante	0	noun	3979	6.254
5329	caranguejo	0	noun	3978	6.253
5330	comunitário	0	adj	3978	6.253
5331	respeitável	0	adj	3976	6.249
5332	namoro	0	noun	3975	6.248
5333	cordeiro	0	noun	3973	6.245
5334	fabricante	0	noun	3969	6.238
5335	incomum	0	adj	3968	6.237
5336	bondoso	0	adj	3967	6.235
5337	fino	0	noun	3967	6.235
5338	arame	0	noun	3965	6.232
5339	casca	0	noun	3965	6.232
5340	man	0	noun	3963	6.229
5341	bloqueado	0	adj	3960	6.224
5342	cova	0	noun	3960	6.224
5343	elogiar	0	verb	3960	6.224
5344	sub	0	noun	3960	6.224
5345	pira	0	intj	3959	6.223
5346	lisonjeado	0	adj	3955	6.216
5347	pobreza	0	noun	3955	6.216
5348	suspensão	0	noun	3952	6.212
5349	piza	0	noun	3950	6.209
5350	duelo	0	noun	3949	6.207
5351	estatística	0	noun	3948	6.205
5352	covarde	0	noun	3944	6.199
5353	dá-mo	0	noun	3944	6.199
5354	prece	0	noun	3944	6.199
5355	motivação	0	noun	3943	6.198
5356	nata	0	noun	3943	6.198
5357	clandestino	0	adj	3942	6.196
5358	terrivelmente	0	adv	3942	6.196
5359	coser	0	verb	3941	6.194
5360	matança	0	noun	3940	6.193
5361	palestra	0	noun	3939	6.191
5362	arrebentar	0	verb	3937	6.188
5363	deparar	0	verb	3937	6.188
5364	impressão digital	1	mwe	3934	6.183
5365	saboroso	0	adj	3934	6.183
5366	enfermeiro	0	noun	3933	6.182
5367	ignição	0	noun	3933	6.182
5368	mademoiselle	0	noun	3933	6.182
5369	aterrorizado	0	adj	3932	6.180
5370	estibordo	0	noun	3932	6.180
5371	gama	0	noun	3932	6.180
5372	individual	0	adj	3932	6.180
5373	funerário	0	adj	3930	6.177
5374	min	0	noun	3929	6.176
5375	contacto visual	1	mwe	3924	6.168
5376	rendimento	0	noun	3924	6.168
5377	lua cheia	1	mwe	3921	6.163
5378	concha	0	noun	3918	6.158
5379	coça	0	noun	3915	6.154
5380	entretenimento	0	noun	3915	6.154
5381	internar	0	verb	3915	6.154
5382	crachá	0	noun	3913	6.150
5383	mijo	0	noun	3911	6.147
5384	democrata	0	noun	3908	6.143
5385	espinha	0	noun	3908	6.143
5386	maltratar	0	verb	3907	6.141
5387	composto	0	noun	3906	6.139
5388	finalista	0	noun	3904	6.136
5389	hospitalidade	0	noun	3904	6.136
5390	lanche	0	noun	3904	6.136
5391	plasma	0	noun	3904	6.136
5392	apreender	0	verb	3901	6.132
5393	alho	0	noun	3899	6.128
5394	descarga	0	noun	3899	6.128
5395	inconveniente	0	adj	3899	6.128
5396	africano	0	adj	3898	6.127
5397	globo	0	noun	3893	6.119
5398	divertimento	0	noun	3892	6.117
5399	inseguro	0	adj	3892	6.117
5400	comporta	0	noun	3891	6.116
5401	candeeiro	0	noun	3887	6.110
5402	diploma	0	noun	3887	6.110
5403	responsabilizar	0	verb	3887	6.110
5404	provisão	0	noun	3886	6.108
5405	carniceiro	0	noun	3884	6.105
5406	banda desenhada	1	mwe	3883	6.103
5407	formatura	0	noun	3882	6.102
5408	mercearia	0	noun	3882	6.102
5409	hangar	0	noun	3878	6.095
5410	mutação	0	noun	3877	6.094
5411	harmonia	0	noun	3876	6.092
5412	consolo	0	noun	3875	6.091
5413	imigração	0	noun	3873	6.088
5414	cantora	0	noun	3872	6.086
5415	fundir	0	verb	3868	6.080
5416	ancestral	0	noun	3867	6.078
5417	resolução	0	noun	3867	6.078
5418	conviver	0	verb	3866	6.077
5419	exceder	0	verb	3865	6.075
5420	humilhação	0	noun	3865	6.075
5421	problemático	0	adj	3865	6.075
5422	cozer	0	verb	3864	6.073
5423	confiável	0	adj	3863	6.072
5424	metanfetamina	0	noun	3861	6.069
5425	viking	0	noun	3861	6.069
5426	ferido	0	noun	3858	6.064
5427	flanco	0	noun	3856	6.061
5428	gin	0	noun	3856	6.061
5429	arquivar	0	verb	3853	6.056
5430	brisa	0	noun	3853	6.056
5431	transição	0	noun	3852	6.055
5432	assembleia	0	noun	3850	6.051
5433	faraó	0	noun	3849	6.050
5434	seminário	0	noun	3849	6.050
5435	eternamente	0	adv	3848	6.048
5436	filhote	0	noun	3848	6.048
5437	universal	0	adj	3844	6.042
5438	ente	0	noun	3843	6.040
5439	mútuo	0	adj	3842	6.039
5440	plantação	0	noun	3840	6.036
5441	poupança	0	noun	3840	6.036
5442	scanner	0	noun	3839	6.034
5443	rebanho	0	noun	3838	6.033
5444	exagerado	0	adj	3835	6.028
5445	doméstico	0	adj	3832	6.023
5446	candidatura	0	noun	3830	6.020
5447	ajuste	0	noun	3829	6.018
5448	consistente	0	adj	3828	6.017
5449	manifestação	0	noun	3826	6.014
5450	excepcional	0	adj	3825	6.012
5451	p'ra	0	conj	3823	6.009
5452	diariamente	0	adv	3822	6.007
5453	batimento	0	noun	3821	6.006
5454	imitação	0	noun	3821	6.006
5455	varinha	0	noun	3819	6.003
5456	radioativo	0	adj	3818	6.001
5457	atómico	0	adj	3816	5.998
5458	esperem esperem	1	mwe	3815	5.996
5459	parecias	0	intj	3815	5.996
5460	panfleto	0	noun	3814	5.995
5461	tiraa	0	unk	3814	5.995
5462	fraternidade	0	noun	3812	5.992
5463	participação	0	noun	3812	5.992
5464	perceção	0	noun	3810	5.989
5465	temor	0	noun	3809	5.987
5466	idoso	0	noun	3807	5.984
5467	queroa	0	noun	3806	5.982
5468	citação	0	noun	3802	5.976
5469	espírito santo	1	mwe	3802	5.976
5470	isqueiro	0	noun	3802	5.976
5471	ocupação	0	noun	3802	5.976
5472	bem-estar	0	noun	3801	5.974
5473	comparação	0	noun	3800	5.973
5474	balançar	0	verb	3799	5.971
5475	deprimente	0	adj	3796	5.967
5476	árabe	0	adj	3795	5.965
5477	remar	0	verb	3794	5.963
5478	catástrofe	0	noun	3793	5.962
5479	verso	0	noun	3793	5.962
5480	your	0	noun	3793	5.962
5481	desesperadamente	0	adv	3791	5.959
5482	viatura	0	noun	3791	5.959
5483	averiguar	0	verb	3790	5.957
5484	penhasco	0	noun	3790	5.957
5485	mauzão	0	noun	3786	5.951
5486	bússola	0	noun	3785	5.949
5487	adjunto	0	noun	3784	5.948
5488	dançarina	0	noun	3784	5.948
5489	faísca	0	noun	3780	5.941
5490	urbano	0	adj	3779	5.940
5491	órfão	0	noun	3778	5.938
5492	transcrição	0	noun	3776	5.935
5493	induzir	0	verb	3775	5.934
5494	estourar	0	verb	3774	5.932
5495	hás-de	0	noun	3774	5.932
5496	semelhança	0	noun	3774	5.932
5497	negativa	0	noun	3773	5.930
5498	enterro	0	noun	3772	5.929
5499	explorador	0	noun	3772	5.929
5500	navegação	0	noun	3772	5.929
5501	violino	0	noun	3771	5.927
5502	ames	0	noun	3770	5.926
5503	pouquinho	0	noun	3770	5.926
5504	terminado	0	adj	3769	5.924
5505	desempregado	0	adj	3767	5.921
5506	oculto	0	adj	3765	5.918
5507	sida	0	noun	3765	5.918
5508	bailarina	0	noun	3763	5.915
5509	exterminar	0	verb	3763	5.915
5510	garfo	0	noun	3763	5.915
5511	regime	0	noun	3762	5.913
5512	traficar	0	verb	3762	5.913
5513	sushi	0	noun	3760	5.910
5514	bochecha	0	noun	3757	5.905
5515	mecânica	0	noun	3757	5.905
5516	resync	0	noun	3757	5.905
5517	vassoura	0	noun	3753	5.899
5518	comichão	0	noun	3752	5.897
5519	inventário	0	noun	3751	5.896
5520	paneleiro	0	noun	3750	5.894
5521	desandar	0	verb	3749	5.893
5522	pontuação	0	noun	3749	5.893
5523	soletrar	0	verb	3749	5.893
5524	eco	0	noun	3748	5.891
5525	bactéria	0	noun	3746	5.888
5526	fera	0	noun	3746	5.888
5527	inquérito	0	noun	3746	5.888
5528	concorrência	0	noun	3744	5.885
5529	dificultar	0	verb	3742	5.882
5530	mentor	0	noun	3740	5.879
5531	utilidade	0	noun	3740	5.879
5532	vedar	0	verb	3739	5.877
5533	expresso	0	noun	3737	5.874
5534	maroto	0	adj	3735	5.871
5535	quântico	0	adj	3734	5.869
5536	arco-íris	0	noun	3732	5.866
5537	excitação	0	noun	3731	5.864
5538	invasor	0	noun	3730	5.863
5539	reles	0	adj	3728	5.860
5540	bufo	0	noun	3727	5.858
5541	castor	0	noun	3727	5.858
5542	escritura	0	noun	3724	5.853
5543	filtro	0	noun	3722	5.850
5544	memorial	0	noun	3721	5.849
5545	moço	0	noun	3721	5.849
5546	ocular	0	adj	3721	5.849
5547	térmico	0	adj	3720	5.847
5548	infiel	0	adj	3716	5.841
5549	lenha	0	noun	3714	5.838
5550	arterial	0	adj	3713	5.836
5551	colorir	0	verb	3711	5.833
5552	balança	0	noun	3710	5.831
5553	forças especiais	1	mwe	3708	5.828
5554	señor	0	noun	3708	5.828
5555	torrada	0	noun	3708	5.828
5556	cobaia	0	noun	3706	5.825
5557	manada	0	noun	3706	5.825
5558	rã	0	noun	3702	5.819
5559	aah	0	intj	3701	5.817
5560	barraca	0	noun	3701	5.817
5561	administrador	0	noun	3700	5.816
5562	oposição	0	noun	3700	5.816
5563	tela	0	noun	3700	5.816
5564	convulsão	0	noun	3697	5.811
5565	cuidadosamente	0	adv	3695	5.808
5566	bosta	0	noun	3691	5.802
5567	simular	0	verb	3687	5.795
5568	barbear	0	verb	3685	5.792
5569	habitar	0	verb	3683	5.789
5570	repleto	0	adj	3681	5.786
5571	ambiental	0	adj	3680	5.784
5572	acelerador	0	noun	3679	5.783
5573	magoaste	0	intj	3679	5.783
5574	zecacurto	0	noun	3679	5.783
5575	guardanapo	0	noun	3674	5.775
5576	consulado	0	noun	3673	5.773
5577	percentagem	0	noun	3673	5.773
5578	hão-de	0	noun	3672	5.772
5579	defensor	0	noun	3668	5.765
5580	ligadura	0	noun	3667	5.764
5581	espetador	0	noun	3666	5.762
5582	deveras	0	adv	3663	5.757
5583	dispensado	0	adj	3663	5.757
5584	recetor	0	noun	3663	5.757
5585	refazer	0	verb	3662	5.756
5586	académico	0	adj	3661	5.754
5587	gladiador	0	noun	3657	5.748
5588	emissão	0	noun	3656	5.746
5589	capuz	0	noun	3654	5.743
5590	irresponsável	0	adj	3654	5.743
5591	rancor	0	noun	3654	5.743
5592	sinais vitais	1	mwe	3653	5.742
5593	be	0	unk	3648	5.734
5594	seringa	0	noun	3645	5.729
5595	raça humana	1	mwe	3644	5.728
5596	republicano	0	noun	3642	5.724
5597	beta	0	noun	3641	5.723
5598	mecânico	0	adj	3640	5.721
5599	raio-x	0	noun	3638	5.718
5600	regional	0	adj	3638	5.718
5601	alimentação	0	noun	3637	5.717
5602	conservador	0	adj	3637	5.717
5603	duzentos	0	num	3637	5.717
5604	mania	0	noun	3637	5.717
5605	presidência	0	noun	3636	5.715
5606	nordeste	0	noun	3634	5.712
5607	destruído	0	adj	3632	5.709
5608	rampa	0	noun	3632	5.709
5609	sequestro	0	noun	3631	5.707
5610	generosidade	0	noun	3629	5.704
5611	livraria	0	noun	3629	5.704
5612	governamental	0	adj	3627	5.701
5613	manchar	0	verb	3627	5.701
5614	agressor	0	noun	3626	5.699
5615	promissor	0	adj	3626	5.699
5616	revestir	0	verb	3624	5.696
5617	imprudente	0	adj	3622	5.693
5618	frito	0	noun	3621	5.691
5619	gratuito	0	adj	3621	5.691
5620	elo	0	noun	3620	5.690
5621	milícia	0	noun	3620	5.690
5622	útero	0	noun	3620	5.690
5623	astuto	0	adj	3619	5.688
5624	ex-namorada	0	noun	3618	5.687
5625	soberano	0	noun	3618	5.687
5626	reboque	0	noun	3617	5.685
5627	exploração	0	noun	3615	5.682
5628	dançarino	0	noun	3613	5.679
5629	imune	0	adj	3613	5.679
5630	oral	0	adj	3613	5.679
5631	chi	0	noun	3608	5.671
5632	certidão	0	noun	3607	5.669
5633	judio	0	adj	3605	5.666
5634	pergaminho	0	noun	3605	5.666
5635	colaboração	0	noun	3601	5.660
5636	profundeza	0	noun	3598	5.655
5637	coral	0	noun	3595	5.651
5638	tríade	0	noun	3595	5.651
5639	proveito	0	noun	3593	5.647
5640	net	0	noun	3592	5.646
5641	propaganda	0	noun	3592	5.646
5642	apagado	0	adj	3591	5.644
5643	descontrolar	0	verb	3591	5.644
5644	ocidente	0	noun	3591	5.644
5645	longo prazo	1	mwe	3590	5.643
5646	precedente	0	noun	3587	5.638
5647	convicção	0	noun	3585	5.635
5648	projeção	0	noun	3585	5.635
5649	bobo	0	noun	3584	5.633
5650	desvantagem	0	noun	3584	5.633
5651	ganância	0	noun	3584	5.633
5652	reaver	0	verb	3584	5.633
5653	cultural	0	adj	3583	5.632
5654	agentes federais	1	mwe	3580	5.627
5655	consumo	0	noun	3578	5.624
5656	teia	0	noun	3577	5.622
5657	genético	0	noun	3575	5.619
5658	higiénico	0	adj	3575	5.619
5659	that	0	noun	3573	5.616
5660	crucificar	0	verb	3572	5.614
5661	desgosto	0	noun	3570	5.611
5662	eletromagnético	0	adj	3568	5.608
5663	viola	0	noun	3568	5.608
5664	salmão	0	noun	3567	5.607
5665	bum	0	noun	3565	5.603
5666	invejar	0	verb	3564	5.602
5667	ova	0	noun	3564	5.602
5668	ascensão	0	noun	3563	5.600
5669	equipar	0	verb	3561	5.597
5670	diabólico	0	adj	3559	5.594
5671	grandeza	0	noun	3558	5.592
5672	boom	0	noun	3554	5.586
5673	estabelecimento	0	noun	3553	5.585
5674	nave espacial	1	mwe	3553	5.585
5675	concreto	0	adj	3550	5.580
5676	aquário	0	noun	3549	5.578
5677	noroeste	0	noun	3547	5.575
5678	desfiladeiro	0	noun	3546	5.574
5679	avaria	0	noun	3542	5.567
5680	comediante	0	noun	3542	5.567
5681	documentário	0	noun	3542	5.567
5682	moldar	0	verb	3542	5.567
5683	pónei	0	noun	3542	5.567
5684	desonrar	0	verb	3541	5.566
5685	parcial	0	adj	3541	5.566
5686	protegido	0	verb	3541	5.566
5687	entendido	0	noun	3538	5.561
5688	pulga	0	noun	3538	5.561
5689	punição	0	noun	3538	5.561
5690	mártir	0	noun	3536	5.558
5691	pen	0	noun	3535	5.556
5692	espertalhão	0	noun	3534	5.555
5693	mimar	0	verb	3533	5.553
5694	subúrbio	0	noun	3532	5.552
5695	aperitivo	0	noun	3531	5.550
5696	preliminar	0	noun	3530	5.548
5697	analgésico	0	noun	3528	5.545
5698	válido	0	adj	3527	5.544
5699	irmãozinho	0	noun	3526	5.542
5700	charro	0	noun	3525	5.541
5701	meigo	0	adj	3525	5.541
5702	desejoso	0	adj	3521	5.534
5703	ex-namorado	0	noun	3520	5.533
5704	karma	0	noun	3520	5.533
5705	eixo	0	noun	3519	5.531
5706	crueldade	0	noun	3518	5.530
5707	esteroide	0	noun	3517	5.528
5708	leito	0	noun	3517	5.528
5709	grelha	0	noun	3516	5.526
5710	home	0	unk	3515	5.525
5711	medula	0	noun	3515	5.525
5712	alcoólico	0	noun	3514	5.523
5713	porno	0	noun	3512	5.520
5714	estagiário	0	noun	3511	5.519
5715	tesão	0	noun	3511	5.519
