lemma	count	cap_ratio	filter_drops
hércules	6468	0.999	yes
cuba	6449	0.968	yes
adams	6421	1.000	yes
teresa	6394	0.999	yes
sullivan	6365	0.997	yes
joan	6250	1.000	yes
jonas	6234	0.998	yes
sidney	6232	0.999	yes
carla	6130	0.998	yes
sms	6069	0.905	yes
winston	5967	1.000	yes
austrália	5944	0.990	yes
cd	5940	0.951	yes
arizona	5930	0.997	yes
calvin	5892	0.997	yes
dvd	5854	0.984	yes
detroit	5803	0.998	yes
samuel	5802	0.990	yes
alicia	5746	0.991	yes
baltimore	5706	0.993	yes
bruno	5679	0.997	yes
lena	5647	0.998	yes
einstein	5643	0.999	yes
suíça	5638	0.902	yes
ii	5635	0.992	yes
pentágono	5618	0.965	yes
yang	5550	0.933	yes
páscoa	5487	0.961	yes
jerusalém	5471	0.993	yes
regina	5471	0.995	yes
ohio	5449	0.999	yes
federação	5438	0.942	yes
robinson	5381	1.000	yes
mona	5371	0.957	yes
cristina	5367	1.000	yes
phoenix	5342	0.996	yes
garrett	5337	1.000	yes
douglas	5300	0.994	yes
gale	5294	0.988	yes
vera	5288	0.867	yes
paula	5286	0.991	yes
atlanta	5252	0.989	yes
reynolds	5227	1.000	yes
pt	5218	0.775	no
hugo	5156	0.997	yes
virgínia	5089	0.997	yes
moore	5049	0.999	yes
thor	5044	0.995	yes
hudson	5028	1.000	yes
nasa	5000	1.000	yes
