# Lemmas filtered out by the proper-noun/OOV heuristic.
# Sorted desc by raw count -- review to rescue any false positives.
# Truncated to entries with >= 100 occurrences: 18,749 of 251,898. The full list is written next to
# this file as *_full.txt and is not committed.
# count	lemma	cap_ratio	reason
20937	louis	0.999	cap_ratio=1.00
20897	karen	0.993	cap_ratio=0.99, oov
20887	maggie	1.000	cap_ratio=1.00, oov
20778	susan	0.999	cap_ratio=1.00
20676	annie	0.998	cap_ratio=1.00, oov
20482	joey	0.999	cap_ratio=1.00, oov
20236	larry	0.998	cap_ratio=1.00, oov
20083	victor	0.998	cap_ratio=1.00
19905	kelly	0.987	cap_ratio=0.99, oov
19797	jackson	0.997	cap_ratio=1.00
19773	big	0.964	cap_ratio=0.96, oov
19589	howard	1.000	cap_ratio=1.00
19437	alan	0.996	cap_ratio=1.00, oov
19319	europa	0.993	cap_ratio=0.99
19312	grace	0.996	cap_ratio=1.00, oov
19143	oliver	0.995	cap_ratio=1.00
19064	andrew	0.999	cap_ratio=1.00, oov
19049	jesse	1.000	cap_ratio=1.00, oov
18975	robin	0.998	cap_ratio=1.00
18932	rose	0.995	cap_ratio=1.00
18861	harvey	1.000	cap_ratio=1.00, oov
18857	street	0.984	cap_ratio=0.98, oov
18764	chloe	1.000	cap_ratio=1.00, oov
18668	josh	0.999	cap_ratio=1.00, oov
18612	edward	1.000	cap_ratio=1.00
18390	texas	0.996	cap_ratio=1.00
18333	jenny	0.999	cap_ratio=1.00
18235	leo	0.998	cap_ratio=1.00, oov
18146	marcus	1.000	cap_ratio=1.00
18027	china	0.981	cap_ratio=0.98
18013	smith	0.997	cap_ratio=1.00
17986	st	0.977	cap_ratio=0.98, oov
17753	g	0.934	cap_ratio=0.93, oov
17744	kim	0.998	cap_ratio=1.00, oov
17615	bruce	0.998	cap_ratio=1.00
17575	tyler	0.992	cap_ratio=0.99, oov
17403	elizabeth	0.995	cap_ratio=0.99, oov
17342	abby	1.000	cap_ratio=1.00, oov
17307	f	0.878	cap_ratio=0.88, oov
17258	amanda	0.999	cap_ratio=1.00, oov
17230	patrick	0.997	cap_ratio=1.00
17210	lady	0.955	cap_ratio=0.95, oov
17139	roger	0.996	cap_ratio=1.00, oov
17116	roy	0.999	cap_ratio=1.00
17099	miami	0.996	cap_ratio=1.00
17093	jeff	0.998	cap_ratio=1.00, oov
17053	taylor	0.998	cap_ratio=1.00
16918	ethan	1.000	cap_ratio=1.00, oov
16881	wayne	0.999	cap_ratio=1.00, oov
16666	marshall	0.983	cap_ratio=0.98
16612	áfrica	0.999	cap_ratio=1.00
16545	gary	0.999	cap_ratio=1.00, oov
16318	elena	0.997	cap_ratio=1.00, oov
16277	tim	0.996	cap_ratio=1.00
16267	wilson	0.993	cap_ratio=0.99
16256	jackie	0.998	cap_ratio=1.00, oov
16158	san	0.991	cap_ratio=0.99
16103	steven	0.999	cap_ratio=1.00, oov
16075	terry	0.999	cap_ratio=1.00, oov
16055	derek	0.999	cap_ratio=1.00, oov
16055	srta	0.855	cap_ratio=0.86, oov
15984	house	0.942	cap_ratio=0.94, oov
15922	francisco	0.998	cap_ratio=1.00
15899	stan	1.000	cap_ratio=1.00, oov
15839	stark	1.000	cap_ratio=1.00, oov
15818	park	0.996	cap_ratio=1.00
15757	julie	0.994	cap_ratio=0.99
15712	julia	0.995	cap_ratio=1.00, oov
15536	king	0.989	cap_ratio=0.99
15509	parker	0.999	cap_ratio=1.00, oov
15470	k	0.881	cap_ratio=0.88, oov
15466	olivia	0.998	cap_ratio=1.00, oov
15421	miller	0.994	cap_ratio=0.99
15399	leonard	1.000	cap_ratio=1.00
15355	cooper	0.998	cap_ratio=1.00, oov
15333	vincent	0.998	cap_ratio=1.00, oov
15309	molly	0.998	cap_ratio=1.00, oov
15305	jessica	0.997	cap_ratio=1.00, oov
15131	ross	0.999	cap_ratio=1.00, oov
15115	jay	0.998	cap_ratio=1.00, oov
15076	penny	0.969	cap_ratio=0.97, oov
15031	lincoln	0.995	cap_ratio=0.99
15000	fred	1.000	cap_ratio=1.00
14985	gordon	1.000	cap_ratio=1.00
14965	marty	0.999	cap_ratio=1.00, oov
14926	cole	0.982	cap_ratio=0.98
14917	laura	0.999	cap_ratio=1.00
14911	doc	0.953	cap_ratio=0.95, oov
14892	greg	0.999	cap_ratio=1.00, oov
14866	katie	0.997	cap_ratio=1.00, oov
14810	doug	0.999	cap_ratio=1.00, oov
14757	el	0.873	cap_ratio=0.87, oov
14704	alemanha	0.991	cap_ratio=0.99
14643	matthew	0.999	cap_ratio=1.00, oov
14558	hitler	0.996	cap_ratio=1.00
14511	carrie	1.000	cap_ratio=1.00, oov
14438	jacob	0.999	cap_ratio=1.00
14386	v	0.857	cap_ratio=0.86
14381	brown	0.995	cap_ratio=0.99
14290	johnson	0.999	cap_ratio=1.00, oov
14234	helen	0.994	cap_ratio=0.99
14225	bond	0.998	cap_ratio=1.00, oov
14176	boston	0.998	cap_ratio=1.00
14053	jeremy	1.000	cap_ratio=1.00, oov
13969	u	0.923	cap_ratio=0.92, oov
13947	rússia	0.999	cap_ratio=1.00
13929	jamie	0.999	cap_ratio=1.00, oov
13893	walker	0.995	cap_ratio=1.00, oov
13891	evan	1.000	cap_ratio=1.00, oov
13881	vince	0.997	cap_ratio=1.00, oov
13858	lucas	0.999	cap_ratio=1.00
13828	beth	0.999	cap_ratio=1.00, oov
13818	nathan	0.999	cap_ratio=1.00, oov
13730	bíblia	0.868	cap_ratio=0.87
13601	eva	0.999	cap_ratio=1.00
13514	casey	1.000	cap_ratio=1.00, oov
13480	carol	0.996	cap_ratio=1.00
13431	hollywood	0.983	cap_ratio=0.98
13417	charlotte	0.987	cap_ratio=0.99
13269	hannah	1.000	cap_ratio=1.00, oov
13231	índia	0.878	cap_ratio=0.88
13217	rebecca	0.999	cap_ratio=1.00, oov
13152	aaron	1.000	cap_ratio=1.00, oov
13151	florida	0.972	cap_ratio=0.97
13121	dexter	0.999	cap_ratio=1.00, oov
13106	donna	0.987	cap_ratio=0.99, oov
13077	ian	0.999	cap_ratio=1.00, oov
13074	anne	0.999	cap_ratio=1.00, oov
13045	césar	0.996	cap_ratio=1.00
13040	teddy	0.998	cap_ratio=1.00, oov
13038	jordan	0.999	cap_ratio=1.00
13019	nate	0.997	cap_ratio=1.00, oov
13013	ron	0.999	cap_ratio=1.00, oov
12956	alteza	0.890	cap_ratio=0.89
12956	connor	0.997	cap_ratio=1.00
12915	sally	0.997	cap_ratio=1.00
12868	sheldon	1.000	cap_ratio=1.00, oov
12805	west	0.994	cap_ratio=0.99, oov
12782	mason	1.000	cap_ratio=1.00, oov
12764	frankie	0.999	cap_ratio=1.00, oov
12756	black	0.952	cap_ratio=0.95, oov
12487	randy	0.998	cap_ratio=1.00, oov
12482	nancy	0.998	cap_ratio=1.00
12415	barney	0.999	cap_ratio=1.00, oov
12388	jess	0.999	cap_ratio=1.00, oov
12372	jean	0.999	cap_ratio=1.00
12362	quinn	1.000	cap_ratio=1.00, oov
12253	owen	1.000	cap_ratio=1.00
12231	lou	0.992	cap_ratio=0.99, oov
12205	mac	0.993	cap_ratio=0.99, oov
12174	homer	0.999	cap_ratio=1.00, oov
12032	logan	0.999	cap_ratio=1.00, oov
11908	harold	0.999	cap_ratio=1.00
11886	dylan	0.999	cap_ratio=1.00
11885	grant	0.999	cap_ratio=1.00, oov
11874	jedi	0.979	cap_ratio=0.98, oov
11873	bauer	1.000	cap_ratio=1.00, oov
11816	davis	1.000	cap_ratio=1.00
11811	catherine	1.000	cap_ratio=1.00
11804	nina	0.988	cap_ratio=0.99
11705	white	0.987	cap_ratio=0.99
11656	shaw	0.999	cap_ratio=1.00
11638	earl	0.997	cap_ratio=1.00, oov
11619	bart	1.000	cap_ratio=1.00, oov
11586	raymond	1.000	cap_ratio=1.00, oov
11555	norman	1.000	cap_ratio=1.00, oov
11551	bonnie	0.999	cap_ratio=1.00, oov
11526	michelle	0.998	cap_ratio=1.00, oov
11517	caroline	0.997	cap_ratio=1.00, oov
11480	dick	0.988	cap_ratio=0.99, oov
11457	angela	0.999	cap_ratio=1.00, oov
11450	betty	0.998	cap_ratio=1.00, oov
11431	stephen	0.999	cap_ratio=1.00, oov
11419	sammy	0.999	cap_ratio=1.00, oov
11369	japão	0.990	cap_ratio=0.99
11352	mickey	0.997	cap_ratio=1.00, oov
11244	dale	0.993	cap_ratio=0.99, oov
11192	daisy	0.998	cap_ratio=1.00, oov
11186	clay	0.999	cap_ratio=1.00, oov
11112	marie	1.000	cap_ratio=1.00
11108	booth	0.999	cap_ratio=1.00, oov
11068	albert	0.996	cap_ratio=1.00
11053	berlim	0.991	cap_ratio=0.99
11011	walt	0.999	cap_ratio=1.00, oov
11007	damon	1.000	cap_ratio=1.00, oov
10920	queen	0.967	cap_ratio=0.97, oov
10906	toby	0.998	cap_ratio=1.00, oov
10899	brad	0.998	cap_ratio=1.00, oov
10725	sydney	0.999	cap_ratio=1.00, oov
10718	mulder	0.999	cap_ratio=1.00, oov
10696	castle	0.996	cap_ratio=1.00, oov
10690	malcolm	0.996	cap_ratio=1.00, oov
10642	ned	1.000	cap_ratio=1.00, oov
10612	zoe	0.998	cap_ratio=1.00
10610	joseph	0.999	cap_ratio=1.00
10601	ellen	0.994	cap_ratio=0.99, oov
10587	shane	0.999	cap_ratio=1.00, oov
10572	itália	0.992	cap_ratio=0.99
10552	dante	0.999	cap_ratio=1.00
10541	justin	0.996	cap_ratio=1.00, oov
10536	travis	0.999	cap_ratio=1.00, oov
10506	bailey	1.000	cap_ratio=1.00, oov
10499	lewis	0.998	cap_ratio=1.00
10492	murphy	0.999	cap_ratio=1.00
10406	jennifer	0.998	cap_ratio=1.00, oov
10406	russell	0.999	cap_ratio=1.00
10376	lex	0.998	cap_ratio=1.00, oov
10326	hill	0.991	cap_ratio=0.99
10258	dennis	0.998	cap_ratio=1.00, oov
10249	mitch	0.999	cap_ratio=1.00, oov
10243	sophie	0.999	cap_ratio=1.00, oov
10228	francis	0.999	cap_ratio=1.00
10176	green	0.950	cap_ratio=0.95, oov
10154	blue	0.960	cap_ratio=0.96, oov
10119	simpson	1.000	cap_ratio=1.00
10088	jonathan	1.000	cap_ratio=1.00, oov
10055	martha	1.000	cap_ratio=1.00, oov
10034	tara	0.924	cap_ratio=0.92
10003	anthony	1.000	cap_ratio=1.00, oov
9986	senado	0.861	cap_ratio=0.86
9980	todd	1.000	cap_ratio=1.00, oov
9961	ricky	0.994	cap_ratio=0.99, oov
9926	ronnie	1.000	cap_ratio=1.00, oov
9878	margaret	1.000	cap_ratio=1.00, oov
9876	espanha	0.997	cap_ratio=1.00
9868	blake	0.994	cap_ratio=0.99, oov
9834	diana	0.999	cap_ratio=1.00
