# Lemmas filtered out by the proper-noun/OOV heuristic.
# Sorted desc by raw count -- review to rescue any false positives.
# Truncated to entries with >= 100 occurrences: 181 of 6,651. The full list is written next to
# this file as *_full.txt and is not committed.
# count	lemma	cap_ratio	reason
119	tammy	1.000	cap_ratio=1.00, oov
118	apophis	1.000	cap_ratio=1.00, oov
117	buddy	0.987	cap_ratio=0.99, oov
115	maude	1.000	cap_ratio=1.00, oov
115	thor	1.000	cap_ratio=1.00
114	ike	1.000	cap_ratio=1.00, oov
114	johnny	1.000	cap_ratio=1.00, oov
113	bill	1.000	cap_ratio=1.00
113	dick	0.988	cap_ratio=0.99, oov
112	arthur	1.000	cap_ratio=1.00, oov
112	david	1.000	cap_ratio=1.00
112	don	1.000	cap_ratio=1.00
112	jarod	1.000	cap_ratio=1.00, oov
112	maria	1.000	cap_ratio=1.00
112	tatopoulos	1.000	cap_ratio=1.00, oov
111	bobby	1.000	cap_ratio=1.00, oov
111	xena	1.000	cap_ratio=1.00, oov
110	bob	1.000	cap_ratio=1.00, oov
110	holliday	1.000	cap_ratio=1.00, oov
110	jane	1.000	cap_ratio=1.00
110	kyle	1.000	cap_ratio=1.00, oov
110	o'neill	1.000	cap_ratio=1.00, oov
110	victor	1.000	cap_ratio=1.00
109	congressista	0.948	cap_ratio=0.95
109	j	1.000	cap_ratio=1.00, oov
109	shell	1.000	cap_ratio=1.00
108	steve	1.000	cap_ratio=1.00, oov
107	lisa	0.949	cap_ratio=0.95
106	han	0.990	cap_ratio=0.99, oov
104	anne	1.000	cap_ratio=1.00, oov
104	quinn	1.000	cap_ratio=1.00, oov
104	zavitz	1.000	cap_ratio=1.00, oov
103	shabbas	1.000	cap_ratio=1.00, oov
102	bailey	1.000	cap_ratio=1.00, oov
102	park	1.000	cap_ratio=1.00
102	phil	1.000	cap_ratio=1.00
101	adn	1.000	cap_ratio=1.00
101	bond	1.000	cap_ratio=1.00, oov
101	carla	1.000	cap_ratio=1.00
101	mark	1.000	cap_ratio=1.00
101	nathan	1.000	cap_ratio=1.00, oov
100	califórnia	1.000	cap_ratio=1.00
100	kelly	1.000	cap_ratio=1.00, oov
100	stanley	1.000	cap_ratio=1.00
#
# BP-leaning lemmas excluded by the exclusion list:
#	aeromoça	bp_exclusion
#	bacana	bp_exclusion
#	banheiro	bp_exclusion
#	celular	bp_exclusion
#	galera	bp_exclusion
#	geladeira	bp_exclusion
