# Lemmas filtered out by the proper-noun/OOV heuristic.
# Sorted desc by raw count -- review to rescue any false positives.
# count	lemma	cap_ratio	reason
13121	dexter	0.999	cap_ratio=1.00, oov
13081	donna	0.987	cap_ratio=0.99, oov
13073	ian	0.999	cap_ratio=1.00, oov
13059	anne	0.999	cap_ratio=1.00, oov
13054	aaron	1.000	cap_ratio=1.00, oov
13037	teddy	0.998	cap_ratio=1.00, oov
13013	ron	0.999	cap_ratio=1.00, oov
12995	nate	0.997	cap_ratio=1.00, oov
12846	sheldon	1.000	cap_ratio=1.00, oov
12801	west	0.994	cap_ratio=0.99, oov
12758	frankie	0.999	cap_ratio=1.00, oov
12627	mason	1.000	cap_ratio=1.00, oov
12512	black	0.952	cap_ratio=0.95, oov
12485	randy	0.998	cap_ratio=1.00, oov
12402	miles	0.989	cap_ratio=0.99, oov
12383	jess	0.999	cap_ratio=1.00, oov
12337	quinn	1.000	cap_ratio=1.00, oov
12310	rips	1.000	cap_ratio=1.00, oov
12261	barney	0.999	cap_ratio=1.00, oov
12227	lou	0.992	cap_ratio=0.99, oov
12174	homer	0.999	cap_ratio=1.00, oov
12103	mac	0.993	cap_ratio=0.99, oov
12022	logan	0.999	cap_ratio=1.00, oov
11873	bauer	1.000	cap_ratio=1.00, oov
11796	grant	0.999	cap_ratio=1.00, oov
11638	earl	0.997	cap_ratio=1.00, oov
11584	raymond	1.000	cap_ratio=1.00, oov
11569	jedi	0.979	cap_ratio=0.98, oov
11550	norman	1.000	cap_ratio=1.00, oov
11545	bonnie	0.999	cap_ratio=1.00, oov
11520	michelle	0.998	cap_ratio=1.00, oov
11495	caroline	0.997	cap_ratio=1.00, oov
11439	dick	0.988	cap_ratio=0.99, oov
11418	sammy	0.999	cap_ratio=1.00, oov
11414	betty	0.998	cap_ratio=1.00, oov
11411	matthew	0.999	cap_ratio=1.00, oov
11324	angela	0.999	cap_ratio=1.00, oov
11304	mickey	0.997	cap_ratio=1.00, oov
11282	bart	1.000	cap_ratio=1.00, oov
11191	daisy	0.998	cap_ratio=1.00, oov
11182	clay	0.999	cap_ratio=1.00, oov
11111	dale	0.993	cap_ratio=0.99, oov
11108	booth	0.999	cap_ratio=1.00, oov
11007	damon	1.000	cap_ratio=1.00, oov
11000	walt	0.999	cap_ratio=1.00, oov
10937	stephen	0.999	cap_ratio=1.00, oov
10906	toby	0.998	cap_ratio=1.00, oov
10890	brad	0.998	cap_ratio=1.00, oov
10806	steven	0.999	cap_ratio=1.00, oov
10725	sydney	0.999	cap_ratio=1.00, oov
10718	mulder	0.999	cap_ratio=1.00, oov
10690	malcolm	0.996	cap_ratio=1.00, oov
10668	castle	0.996	cap_ratio=1.00, oov
10629	ned	1.000	cap_ratio=1.00, oov
10579	shane	0.999	cap_ratio=1.00, oov
10570	ihe	1.000	cap_ratio=1.00, oov
10559	ellen	0.994	cap_ratio=0.99, oov
10538	justin	0.996	cap_ratio=1.00, oov
10535	travis	0.999	cap_ratio=1.00, oov
10438	bailey	1.000	cap_ratio=1.00, oov
10406	jennifer	0.998	cap_ratio=1.00, oov
10376	lex	0.998	cap_ratio=1.00, oov
10258	dennis	0.998	cap_ratio=1.00, oov
10246	mitch	0.999	cap_ratio=1.00, oov
10223	sophie	0.999	cap_ratio=1.00, oov
10091	green	0.950	cap_ratio=0.95, oov
10075	jonathan	1.000	cap_ratio=1.00, oov
10039	martha	1.000	cap_ratio=1.00, oov
9998	anthony	1.000	cap_ratio=1.00, oov
9979	todd	1.000	cap_ratio=1.00, oov
9958	ricky	0.994	cap_ratio=0.99, oov
9917	ronnie	1.000	cap_ratio=1.00, oov
9875	margaret	1.000	cap_ratio=1.00, oov
9857	blake	0.994	cap_ratio=0.99, oov
9818	manny	0.999	cap_ratio=1.00, oov
9729	stefan	1.000	cap_ratio=1.00, oov
9663	seth	0.999	cap_ratio=1.00, oov
9644	cameron	1.000	cap_ratio=1.00, oov
9604	lana	0.998	cap_ratio=1.00, oov
9531	riley	1.000	cap_ratio=1.00, oov
9491	megan	1.000	cap_ratio=1.00, oov
9459	holmes	0.999	cap_ratio=1.00, oov
9433	evan	1.000	cap_ratio=1.00, oov
9420	mna	0.999	cap_ratio=1.00, oov
9412	bishop	1.000	cap_ratio=1.00, oov
9409	katherine	0.999	cap_ratio=1.00, oov
9374	holly	0.993	cap_ratio=0.99, oov
9363	manhattan	0.999	cap_ratio=1.00, oov
9352	ashley	0.990	cap_ratio=0.99, oov
9329	sandy	1.000	cap_ratio=1.00, oov
9321	nicole	0.999	cap_ratio=1.00, oov
9254	little	0.911	cap_ratio=0.91, oov
9161	jill	0.994	cap_ratio=0.99, oov
9123	kenny	0.998	cap_ratio=1.00, oov
9119	elliot	0.992	cap_ratio=0.99, oov
9118	maya	0.991	cap_ratio=0.99, oov
9057	harris	0.999	cap_ratio=1.00, oov
9009	kent	0.995	cap_ratio=1.00, oov
8950	wendy	0.999	cap_ratio=1.00, oov
8938	sid	0.991	cap_ratio=0.99, oov
